date,GDP,GDPC1,A939RX0Q048SBEA,GFDEGDQ188S,GPDI,GPDIC1,BOGZ1FU263092001Q,QBPBSTAS,FDHBFRBN,FYGFDPUN,FDHBFIN
1990-01-01,5872.701,10047.386,40361.0,51.96856,1010.838,1304.586,15638.0,4670804.702,217.9,2329264.0,445.4
1990-04-01,5960.028,10083.855,40382.0,52.7473,1014.72,1304.993,14644.0,4686704.559,231.4,2368772.0,451.0
1990-07-01,6015.116,10090.569,40266.0,53.75313,1000.785,1279.695,9156.0,4691535.201,234.4,2437551.0,463.8
1990-10-01,6004.733,9998.704,39759.0,56.03613,947.453,1208.107,9058.0,4656548.263,235.1,2536545.0,487.1
1991-01-01,6035.178,9951.916,39451.0,57.41652,924.569,1167.908,3846.0,4568363.966,241.0,2598351.0,492.0
1991-04-01,6126.862,10029.51,39632.0,57.74551,926.541,1167.904,13975.0,4545210.391,247.5,2642863.0,502.0
1991-07-01,6205.937,10080.195,39691.0,59.06123,947.476,1191.028,-797.0,4573603.88,258.6,2745729.0,506.3
1991-10-01,6264.54,10115.329,39694.0,60.68599,978.788,1233.261,6147.0,4550192.185,266.5,2833034.0,520.9
1992-01-01,6363.102,10236.435,40051.0,60.99679,956.817,1210.478,1782.0,4541414.416,265.8,2917630.0,536.4
1992-04-01,6470.763,10347.429,40350.0,61.57938,1013.084,1278.935,6379.0,4522169.402,276.9,2976774.0,558.2
1992-07-01,6566.641,10449.673,40599.0,61.89802,1024.162,1289.101,3548.0,4535690.297,279.7,3048291.0,562.8
1992-10-01,6680.803,10558.648,40881.0,62.52256,1057.962,1328.433,8114.0,4541325.436,295.0,3129308.0,576.7
1993-01-01,6729.459,10576.275,40829.0,62.86657,1083.829,1359.751,7813.0,4528140.235,298.5,3187556.0,585.9
1993-04-01,6808.939,10637.847,40942.0,63.91524,1094.479,1367.575,11799.0,4577983.256,313.1,3252285.0,596.8
1993-07-01,6882.098,10688.606,40997.0,64.10093,1095.852,1358.287,12148.0,4641711.203,319.4,3294796.0,619.1
1993-10-01,7013.738,10833.987,41423.0,64.66861,1153.142,1429.661,19603.0,4711354.008,332.0,3382197.0,650.3
1994-01-01,7115.652,10939.116,41713.0,64.30709,1201.675,1484.116,5473.0,4843916.404,337.3,3434208.0,661.1
1994-04-01,7246.931,11087.361,42154.0,64.10716,1264.948,1557.107,6026.0,4895161.881,347.6,3442868.0,659.9
1994-07-01,7331.075,11152.176,42264.0,64.01176,1251.749,1531.67,14623.0,4932363.513,353.0,3479652.0,682.0
1994-10-01,7455.288,11279.932,42618.0,64.38584,1307.566,1594.684,19999.0,5022360.958,364.5,3543118.0,667.3
1995-01-01,7522.289,11319.951,42654.0,64.66271,1327.586,1611.428,9439.0,5132797.898,363.7,3609459.0,707.0
1995-04-01,7580.997,11353.721,42660.0,65.31294,1303.988,1577.96,12199.0,5190620.769,372.6,3634808.0,762.5
1995-07-01,7683.125,11450.31,42885.0,64.73906,1303.248,1568.555,17859.0,5256475.497,367.7,3653199.0,820.4
1995-10-01,7772.586,11528.067,43044.0,64.18282,1335.135,1607.513,18279.0,5340963.353,378.2,3684209.0,835.2
1996-01-01,7868.468,11614.418,43259.0,65.04171,1355.353,1633.332,28133.0,5327521.968,377.1,3764019.0,908.1
1996-04-01,8032.84,11808.14,43856.0,64.2497,1418.388,1711.813,16699.0,5422841.137,383.9,3738633.0,929.7
1996-07-01,8131.408,11914.063,44105.0,64.25469,1474.35,1789.565,16597.0,5496864.192,383.9,3777808.0,993.4
1996-10-01,8259.771,12037.775,44421.0,64.44697,1480.128,1787.19,25074.0,5611184.065,390.9,3825994.0,1102.1
1997-01-01,8362.655,12115.472,44590.0,64.34428,1522.404,1823.255,28668.0,5667302.357,395.1,3874106.0,1157.6
1997-04-01,8518.825,12317.221,45203.0,63.10907,1590.218,1935.157,23787.0,5803460.852,410.9,3804568.0,1182.7
1997-07-01,8662.823,12471.01,45616.0,62.48709,1625.251,1962.053,19094.0,5894611.596,411.8,3816381.0,1230.5
1997-10-01,8765.907,12577.495,45862.0,62.77032,1644.529,1990.86,34053.0,6044717.755,430.7,3846706.0,1241.6
1998-01-01,8866.48,12703.742,46204.0,62.50988,1712.324,2078.205,20060.0,6152711.602,433.2,3872048.0,1250.5
1998-04-01,8969.699,12821.339,46504.0,61.85196,1695.773,2065.336,21046.0,6229498.743,439.8,3790379.0,1256.0
1998-07-01,9121.097,12982.752,46943.0,60.58693,1741.623,2118.989,25124.0,6327525.195,446.0,3762333.0,1224.2
1998-10-01,9293.991,13191.67,47555.0,60.40696,1796.964,2183.382,112814.0,6531024.519,452.1,3787391.0,1278.7
1999-01-01,9411.682,13315.597,47880.0,60.04894,1853.063,2243.548,27659.0,6521924.728,465.7,3794549.0,1272.3
1999-04-01,9526.21,13426.748,48148.0,59.19227,1848.341,2244.682,143930.0,6594814.76,484.9,3685167.0,1258.8
1999-07-01,9686.626,13604.771,48632.0,58.39258,1893.735,2306.47,51830.0,6655738.746,489.0,3667597.0,1281.4
1999-10-01,9900.169,13827.98,49281.0,58.34336,1953.097,2367.988,65685.0,6883659.075,478.0,3715531.0,1268.7
2000-01-01,10002.179,13878.147,49335.0,57.72134,1950.65,2351.223,51222.0,7004568.467,501.7,3687974.0,1085.0
2000-04-01,10247.72,14130.908,50109.0,55.48491,2075.786,2490.501,94677.0,7163614.418,504.9,3495713.0,1060.7
2000-07-01,10318.165,14145.312,50024.0,54.99213,2059.969,2466.375,81868.0,7269388.01,511.4,3438416.0,1038.8
2000-10-01,10435.744,14229.765,50190.0,54.2579,2067.227,2471.534,92570.0,7462898.054,511.7,3413541.0,1015.2
2001-01-01,10470.231,14183.12,49911.0,55.14434,1971.333,2358.969,58751.0,7572689.271,523.9,3434386.0,1012.5
2001-04-01,10599.0,14271.694,50105.0,54.03165,1973.033,2362.652,61262.0,7635923.679,535.1,3274176.0,983.3
2001-07-01,10598.02,14214.516,49774.0,54.79763,1944.909,2311.409,16920.0,7844175.799,534.1,3338707.0,992.2
2001-10-01,10660.465,14253.574,49783.0,55.75216,1850.091,2196.554,31112.0,7867077.283,551.7,3393758.0,1040.1
2002-01-01,10783.5,14372.785,50091.0,55.6965,1912.659,2262.071,25345.0,7822741.802,575.4,3443674.0,1057.2
2002-04-01,10887.46,14460.848,50286.0,56.27087,1933.282,2298.939,9183.0,8039006.629,590.7,3463544.0,1123.1
2002-07-01,10984.04,14519.633,50362.0,56.7026,1933.197,2295.983,15791.0,8272829.759,604.2,3552588.0,1188.6
2002-10-01,11061.433,14537.58,50302.0,57.91028,1942.531,2293.746,35640.0,8435858.213,629.4,3647385.0,1235.6
2003-01-01,11174.129,14614.141,50462.0,57.81906,1960.221,2312.465,38849.0,8605714.87,641.5,3710779.0,1275.2
2003-04-01,11312.766,14743.567,50796.0,58.96101,1972.386,2327.492,-1756.0,8923262.177,652.1,3816279.0,1371.9
2003-07-01,11566.669,14988.782,51512.0,58.64541,2044.304,2411.638,1987.0,8943134.245,656.1,3924045.0,1443.3
2003-10-01,11772.234,15162.76,51986.0,59.44466,2131.311,2493.928,30433.0,9075653.324,666.7,4044054.0,1523.1
2004-01-01,11923.447,15248.68,52179.0,59.8071,2154.052,2498.14,28006.0,9377238.799,674.1,4176667.0,1670.0
2004-04-01,12112.815,15366.85,52469.0,60.05487,2262.607,2597.507,35844.0,9648544.817,687.4,4218734.0,1735.4
2004-07-01,12305.307,15512.619,52835.0,59.96643,2318.272,2638.672,37102.0,9877215.472,700.3,4303366.0,1794.5
2004-10-01,12527.214,15670.88,53242.0,60.63713,2390.082,2693.575,50778.0,10107378.707,717.8,4406352.0,1849.3
2005-01-01,12767.286,15844.727,53719.0,60.91302,2486.068,2769.261,40220.0,10286409.862,717.3,4572397.0,1952.0
2005-04-01,12922.656,15922.782,53868.0,60.64153,2476.474,2733.225,-4505.0,10474368.258,724.7,4527630.0,1878.0
2005-07-01,13142.642,16047.587,54153.0,60.35856,2531.076,2769.106,40427.0,10700704.372,736.4,4601378.0,1930.0
2005-10-01,13324.204,16136.734,54317.0,61.32008,2645.263,2857.35,40514.0,10879266.653,744.2,4714607.0,2034.0
2006-01-01,13599.16,16353.835,54927.0,61.55642,2709.74,2899.229,44719.0,11209759.506,758.5,4872804.0,2082.1
2006-04-01,13753.424,16396.151,54945.0,61.22142,2709.252,2882.564,69036.0,11526114.005,766.4,4797450.0,1977.8
2006-07-01,13870.188,16420.738,54886.0,61.3328,2709.42,2871.589,59951.0,11754158.247,768.9,4843208.0,2025.3
2006-10-01,14039.56,16561.866,55216.0,61.82689,2675.406,2818.228,73620.0,11861854.572,778.9,4901208.0,2103.1
2007-01-01,14215.651,16611.69,55260.0,62.25297,2664.295,2800.037,50862.0,11982319.595,780.9,5054278.0,2194.8
2007-04-01,14402.082,16713.314,55474.0,61.57219,2699.217,2827.01,71471.0,12261392.259,790.5,4943033.0,2192.0
2007-07-01,14564.117,16809.587,55649.0,61.84826,2685.969,2794.526,90403.0,12706149.708,779.6,5049242.0,2235.3
2007-10-01,14715.058,16915.191,55857.0,62.71924,2642.56,2762.518,14978.0,13033934.371,740.6,5136288.0,2353.2
2008-01-01,14706.538,16843.003,55497.0,64.17278,2563.701,2686.998,91665.0,13369322.096,591.2,5334048.0,2506.3
2008-04-01,14865.701,16943.291,55705.0,63.85172,2540.595,2641.85,71554.0,13300429.887,478.8,5285025.0,2587.4
2008-07-01,14898.999,16854.295,55278.0,67.28455,2498.242,2589.254,68609.0,13545965.481,476.6,5814240.0,2802.4
2008-10-01,14608.209,16485.35,53941.0,73.24515,2307.915,2338.938,86624.0,13817670.936,475.9,6372651.0,3077.2
2009-01-01,14430.902,16298.262,53221.0,77.10496,2014.878,2073.135,2994.0,13526158.167,492.3,6836338.0,3265.7
2009-04-01,14381.236,16269.145,53017.0,80.28013,1863.65,1952.641,34384.0,13279679.333,656.5,7176464.0,3460.8
2009-07-01,14448.882,16326.281,53081.0,82.42733,1841.416,1946.867,60544.0,13226016.909,769.2,7554537.0,3570.6
2009-10-01,14651.249,16502.754,53531.0,84.02935,1998.71,2128.516,59815.0,13086777.689,776.6,7814359.0,3685.1
2010-01-01,14764.61,16582.71,53683.0,86.51175,2038.161,2174.335,41604.0,13336004.267,776.7,8294251.0,3877.9
2010-04-01,14980.193,16743.162,54100.0,88.12832,2148.795,2288.469,34276.0,13199507.433,777.0,8639220.0,4070.0
2010-07-01,15141.607,16872.266,54401.0,89.56528,2236.495,2390.072,89603.0,13372707.514,811.7,9027611.0,4324.2
2010-10-01,15309.474,16960.864,54569.0,91.61134,2238.44,2383.297,45062.0,13318922.958,1021.5,9395411.0,4435.6
2011-01-01,15351.448,16920.632,54341.0,92.95614,2205.962,2338.901,45644.0,13414246.871,1340.4,9656573.0,4481.4
2011-04-01,15557.539,17035.114,54610.0,92.1938,2297.352,2434.538,65167.0,13601986.529,1619.5,9746879.0,4690.6
2011-07-01,15647.68,17031.313,54482.0,94.52098,2322.84,2445.296,72300.0,13811890.222,1664.7,10132039.0,4912.1
2011-10-01,15842.259,17222.583,54979.0,96.09072,2504.095,2633.829,59047.0,13891344.756,1663.4,10452503.0,5006.9
2012-01-01,16068.805,17367.01,55342.0,97.12308,2567.75,2692.179,39238.0,13925410.73,1661.1,10876394.0,5145.1
2012-04-01,16207.115,17444.525,55490.0,97.82763,2636.863,2752.614,79102.0,14030842.983,1659.9,11048217.0,5310.9
2012-07-01,16319.541,17469.65,55454.0,98.44787,2644.119,2759.86,46256.0,14222854.708,1645.3,11274396.0,5476.1
2012-10-01,16420.419,17489.852,55403.0,100.07497,2638.282,2736.423,46872.0,14450403.761,1666.1,11586560.0,5573.8
2013-01-01,16648.189,17662.4,55859.0,100.73997,2746.42,2845.38,37237.0,14423791.848,1796.0,11922454.0,5725.0
2013-04-01,16728.687,17709.671,55914.0,100.05758,2780.242,2882.489,67117.0,14409751.242,1936.6,11906573.0,5595.0
2013-07-01,16953.838,17860.45,56272.0,98.72797,2892.354,2998.991,62251.0,14603604.365,2072.3,11980978.0,5652.8
2013-10-01,17192.019,18016.147,56642.0,99.79118,2934.291,3027.805,50667.0,14730790.515,2208.8,12355194.0,5792.6
2014-01-01,17197.738,17953.974,56345.0,102.34617,2922.765,2998.148,-71975.0,14909898.824,2614.6,12643201.0,5948.3
2014-04-01,17518.508,18185.911,56968.0,100.6513,3059.096,3121.321,82268.0,15171911.352,2705.9,12572021.0,6018.7
2014-07-01,17804.228,18406.941,57536.0,100.11145,3142.047,3193.152,106970.0,15348740.218,2767.3,12784809.0,6069.2
2014-10-01,17912.079,18500.031,57702.0,101.2805,3172.016,3203.351,94723.0,15553728.396,2793.4,13023818.0,6157.7
2015-01-01,18063.529,18666.621,58121.0,100.49009,3282.283,3314.895,240160.0,15777971.708,2797.5,13090183.0,6172.6
2015-04-01,18279.784,18782.243,58376.0,99.30094,3291.104,3328.049,97087.0,15753630.867,2798.5,13075036.0,6161.0
2015-07-01,18401.626,18857.418,58486.0,98.63595,3303.66,3335.27,64312.0,15800092.047,2802.1,13123756.0,6104.0
2015-10-01,18435.137,18892.206,58470.0,102.64192,3276.879,3315.334,82289.0,15967662.111,2810.1,13699868.0,6144.2
2016-01-01,18525.933,19001.69,58704.0,103.98904,3244.317,3301.09,142270.0,16293275.899,2815.3,13929762.0,6284.4
2016-04-01,18711.702,19062.709,58787.0,103.58005,3246.381,3287.033,154893.0,16533969.432,2819.1,13937309.0,6279.1
2016-07-01,18892.639,19197.938,59084.0,103.60355,3261.571,3301.079,121155.0,16766622.237,2830.1,14177750.0,6155.9
2016-10-01,19089.379,19304.352,59296.0,104.64891,3360.952,3391.749,61697.0,16779681.324,2843.7,14439326.0,6002.8
2017-01-01,19280.084,19398.343,59494.0,102.93741,3363.101,3382.703,98847.0,16965580.738,2859.131,14374457.0,6075.3
2017-04-01,19438.643,19506.949,59736.0,102.08817,3432.968,3435.929,82288.0,17069493.576,2864.091,14370898.0,6151.9
2017-07-01,19692.595,19660.766,60099.0,102.80463,3500.142,3493.166,74236.0,17242501.094,2867.555,14681827.0,6301.9
2017-10-01,20037.088,19882.352,60674.0,102.27408,3574.446,3558.859,69701.0,17415409.638,2858.136,14823106.0,6211.3
2018-01-01,20328.553,20044.077,61093.0,103.74395,3645.635,3612.936,33819.0,17530252.166,2828.463,15436782.0,6223.4
2018-04-01,20580.912,20150.476,61336.0,102.98411,3662.727,3612.389,-5428.0,17532878.34,2772.949,15483548.0,6225.0
2018-07-01,20798.73,20276.154,61622.0,103.4489,3788.692,3722.248,107367.0,17672831.76,2697.86,15778806.0,6225.9
2018-10-01,20917.867,20304.874,61619.0,105.04941,3802.028,3724.752,80658.0,17942991.76,2594.652,16120742.0,6270.1
2019-01-01,21111.6,20431.641,61939.0,104.34017,3850.77,3755.53,67622.0,18088794.535,2536.673,16223851.0,6474.0
2019-04-01,21397.938,20602.275,62385.0,102.92245,3903.996,3790.049,67791.0,18265210.736,2452.784,16204719.0,6625.9
2019-07-01,21717.171,20843.322,63022.0,104.61492,3939.599,3819.94,53839.0,18481257.844,2436.438,16825978.0,6923.5
2019-10-01,21933.217,20985.448,63360.0,105.78193,3880.57,3770.431,67436.0,18645042.703,2637.32,17187392.0,6844.2
2020-01-01,21751.238,20709.212,62463.0,106.77007,3807.7,3676.274,25262.0,20254673.655,3559.553,17228778.0,6949.5
2020-04-01,19958.291,19077.992,57504.0,132.66287,3270.187,3163.508,20011.0,21139128.374,4615.353,20548375.0,7052.1
2020-07-01,21704.437,20558.879,61936.0,124.14692,3911.004,3755.526,33965.0,21209157.126,4872.973,21037627.0,7069.2
2020-10-01,22087.16,20791.917,62605.0,125.62864,4064.655,3878.929,32642.0,21868541.076,5127.835,21651416.0,7070.7
2021-01-01,22680.693,21082.134,63490.0,124.03752,4058.943,3849.329,64496.0,22546685.795,5401.362,22006863.0,7038.3
2021-04-01,23425.91,21440.929,64539.0,121.78582,4049.667,3799.029,89878.0,22774194.925,5644.351,22353532.0,7518.9
2021-07-01,23982.379,21617.828,64990.0,118.54086,4255.263,3937.3,133902.0,23251698.965,5911.599,22305879.0,7570.9
2021-10-01,24813.6,21988.737,66010.0,119.3588,4622.306,4191.773,117228.0,23719744.572,6141.499,23168329.0,7740.4
2022-01-01,25250.347,21932.71,65770.0,120.39819,4814.294,4272.382,85383.0,23973187.582,6254.966,23903280.0,7604.2
2022-04-01,25861.292,21967.045,65774.0,118.20207,4811.513,4176.99,93622.0,23717494.861,6216.801,23933481.0,7416.9
2022-07-01,26336.304,22125.625,66115.0,117.43832,4812.308,4105.292,121511.0,23627034.684,6097.085,24320206.0,7251.5
2022-10-01,26770.514,22278.345,66427.0,117.36678,4939.217,4184.98,37877.0,23595504.067,5944.675,24539241.0,7194.7
2023-01-01,27216.445,22439.607,66781.0,115.58614,4883.84,4108.542,85377.0,23715203.197,5713.249,24714826.0,7468.6
2023-04-01,27530.055,22580.499,67067.0,117.44355,4961.052,4180.752,93817.0,23461001.916,5522.478,25482075.0,7563.2
2023-07-01,28074.846,22840.989,67677.0,118.13897,5088.8,4275.527,60524.0,23408451.328,5352.361,26349499.0,7509.1
2023-10-01,28424.722,23033.78,68075.0,119.61944,5161.154,4313.169,57726.0,23666535.359,5238.936,26960227.0,7940.0
2024-01-01,28708.161,23082.119,68065.0,120.47631,5155.029,4296.251,68178.0,23957788.118,4991.26,27533422.0,8107.9
2024-04-01,29147.044,23286.508,68504.0,119.50314,5290.171,4381.983,81268.0,23888185.199,4813.84,27634108.0,8299.3
2024-07-01,29511.664,23478.57,68926.0,120.17172,5330.249,4392.176,66522.0,24212124.081,4713.975,28325715.0,8766.3
2024-10-01,29825.182,23586.542,69136.0,121.43633,5261.83,4315.564,76367.0,24101006.491,4629.269,28859125.0,8619.6
2025-01-01,30042.113,23548.21,68937.0,120.54515,5556.216,4547.947,53817.0,24537869.771,4556.362,28932974.0,9049.6
2025-04-01,30485.729,23770.976,69499.0,118.78171,5358.632,4382.819,76933.0,24988672.006,4532.664,28976177.0,9127.7
